PDF Name,Original URL,Final URL,HTTP Status,Reason,Content-Type,Page Title,Body Snippet
Uk Country Cross Border Payments.Sttl,https://www.hsbc.co.uk/content/dam/hsbc/gb/pdf/uk-country-cross-border-payments.sttl.pdf,https://www.hsbc.co.uk/content/dam/hsbc/gb/pdf/uk-country-cross-border-payments.sttl.pdf,404,HTTP_404,text/html;charset=utf-8,404,"404 if ( !!window.hsbc ) { window.hsbc.cookie = { cookiePolicyLastUpdateDate: 1466093305524, cookiePolicyUrl: '/1/2/cookie-policy' } } else { window.hsbc = { cookie: { cookiePolicyLastUpdateDate: 1466093305524, cookiePolicyUrl: '/1/2/cookie-policy' } }; }"
Hsbcbusinessbanking Openbankingperformanceandavailabilityreport Q3 2025,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbcbusinessbanking-openbankingperformanceandavailabilityreport-q3-2025.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Hsbccorporatebanking Openbankingperformanceandavailabilityreport Q1 2025,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbccorporatebanking-openbankingperformanceandavailabilityreport-q1-2025.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Hsbccorporatebanking Openbankingperformanceandavailabilityreport Q3 2025,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbccorporatebanking-openbankingperformanceandavailabilityreport-q3-2025.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Hsbccorporatebanking Openbankingperformanceandavailabilityreport Q4 2024,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbccorporatebanking-openbankingperformanceandavailabilityreport-q4-2024.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Hsbckinetic Openbankingperformanceandavailabilityreport Q1 2025,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbckinetic-openbankingperformanceandavailabilityreport-q1-2025.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Hsbckinetic Openbankingperformanceandavailabilityreport Q3 2025,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbckinetic-openbankingperformanceandavailabilityreport-q3-2025.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Hsbckinetic Openbankingperformanceandavailabilityreport Q4 2024,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbckinetic-openbankingperformanceandavailabilityreport-q4-2024.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Invoice Finance Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/invoice-finance-guide.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Invoice Finance Sales,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/invoice-finance-sales.pdf?download=1,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Managing Service Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/managing-service-guide.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
