Row Number,PDF Name,Original URL,Final URL,HTTP Status,Reason,Review Category,Source Category,Content-Type,Page Title,Body Snippet
164,Business Money Manager Account Additional Conditions,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/self-services/business-money-manager-account-additional-conditions.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Self-Service,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
166,Hsbc Eligible Green Criteria 2023 Final,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-eligible-green-criteria-2023-final.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Campaigns,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
192,Asia Europe Corridor Outlook,https://www.business.hsbc.uk/-/media/media/uk/pdfs/article/asia-europe-corridor-outlook.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Articles,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
195,To Apply For A Guarantee Or Standby Letter Of Credit,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/to-apply-for-a-guarantee-or-standby-letter-of-credit.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Solutions,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
209,Hsbc Global Private Banking The Global Entrepreneurial Wealth Report 2024,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbc-global-private-banking-the-global-entrepreneurial-wealth-report-2024.pdf?download=1,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,General,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
224,Terms And Conditions For Hsbc Championships Tennis Tournament 2025 Ticket Giveaway,https://www.business.hsbc.uk/-/media/media/uk/pdfs/terms-and-conditions-for-hsbc-championships-tennis-tournament-2025-ticket-giveaway.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,General,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
235,Hsbccorporatebanking Openbankingperformanceandavailabilityreport Q4 2024,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbccorporatebanking-openbankingperformanceandavailabilityreport-q4-2024.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,General,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
239,Uk Country Cross Border Payments.Sttl,https://www.hsbc.co.uk/content/dam/hsbc/gb/pdf/uk-country-cross-border-payments.sttl.pdf,https://www.hsbc.co.uk/content/dam/hsbc/gb/pdf/uk-country-cross-border-payments.sttl.pdf,404,HTTP_404,HARD_404,Pdf,text/html;charset=utf-8,404,"404 if ( !!window.hsbc ) { window.hsbc.cookie = { cookiePolicyLastUpdateDate: 1466093305524, cookiePolicyUrl: '/1/2/cookie-policy' } } else { window.hsbc = { cookie: { cookiePolicyLastUpdateDate: 1466093305524, cookiePolicyUrl: '/1/2/cookie-policy' } }; }"
249,Hsbcbusinessbanking Openbankingperformanceandavailabilityreport Q3 2025,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbcbusinessbanking-openbankingperformanceandavailabilityreport-q3-2025.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,General,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
250,Container.Aspx?Currentstep=Clientdetails&Currentworkflow=Standardb2C&Producttarget=Tradesman&Source=52806004&_Gl=1*2Le6Vt*_Gcl_Au*Mtczody2Odi4Ni4Xnzuwnjczodm2*_Ga*Nzuxotg3Oty5Lje3Ndi0Njmymtu.*_Ga_Rm6N9W0H53*Cze3Ntgyotgxodakbzyzjgcwjhqxnzu4Mjk4Mtgwjgo2Mcrsmcroma..&Utm_Source=Website&Utm_Medium=Website&Utm_Campaign=Hsbc+Public+Website+Tradesmen+Q%26B,https://secure.marshcommercial.co.uk/AWE/Container.aspx?CurrentStep=ClientDetails&CurrentWorkflow=StandardB2C&ProductTarget=Tradesman&Source=52806004&_gl=1*2le6vt*_gcl_au*MTczODY2ODI4Ni4xNzUwNjczODM2*_ga*NzUxOTg3OTY5LjE3NDI0NjMyMTU.*_ga_RM6N9W0H53*czE3NTgyOTgxODAkbzYzJGcwJHQxNzU4Mjk4MTgwJGo2MCRsMCRoMA..&utm_source=Website&utm_medium=website&utm_campaign=HSBC+public+website+tradesmen+Q%26B,https://secure.marshcommercial.co.uk/AWE/Container.aspx?CurrentStep=ClientDetails&CurrentWorkflow=StandardB2C&ProductTarget=Tradesman&Source=52806004&_gl=1*2le6vt*_gcl_au*MTczODY2ODI4Ni4xNzUwNjczODM2*_ga*NzUxOTg3OTY5LjE3NDI0NjMyMTU.*_ga_RM6N9W0H53*czE3NTgyOTgxODAkbzYzJGcwJHQxNzU4Mjk4MTgwJGo2MCRsMCRoMA..&utm_source=Website&utm_medium=website&utm_campaign=HSBC+public+website+tradesmen+Q%26B,200,OK,ALT_LANDING_PAGE_NON_PDF,Awe,text/html; charset=utf-8,Your Details,"(function(w,d,s,l,i){w[l]=w[l]||[];w[l].push({'gtm.start': new Date().getTime(),event:'gtm.js'});var f=d.getElementsByTagName(s)[0], j=d.createElement(s),dl=l!='dataLayer'?'&l='+l:'';j.async=true;j.src= '//www.googletagmanager.com/gtm.js?id='+i+dl;f.parentNode.insertBefore(j,f); })(window,document,'"
