pdf_name,url,category,priority_tier,control_pdfua,control_wcag,our_pdfua,our_wcag,overall_result,failure_summary
E Wallet For Hsbc Kinetic Debit Card Additional Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/article/e-wallet-for-hsbc-kinetic-debit-card-additional-conditions.pdf?download=1,Articles,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
E Wallet For Hsbc Kinetic Debit Cards Hsb Cmblit358 Wa,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/e-wallet-for-hsbc-kinetic-debit-cards-hsb-cmblit358-wa.pdf,Solutions,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Fraud And Cyber Awareness App App Terms,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/fraud-and-cyber-awareness-app-app-terms.pdf,Campaigns,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
How Cutting Edge Technologies Are Disrupting Manufacting,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/how-cutting-edge-technologies-are-disrupting-manufacting.pdf,Campaigns,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Bookmarks present when required, Tagged PDF present, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Uk Esg Directory?Audit,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/hsbc-uk-esg-directory.pdf?audit,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Uk Esg Directory?Disclosure,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/hsbc-uk-esg-directory.pdf?disclosure,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Uk Esg Directory?Geospatial,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/hsbc-uk-esg-directory.pdf?geospatial,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Uk Esg Directory?Header=1,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/hsbc-uk-esg-directory.pdf?header=1,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Uk Esg Directory?Link=Ag,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/hsbc-uk-esg-directory.pdf?link=ag,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Uk Esg Directory?Supply,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/hsbc-uk-esg-directory.pdf?supply,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Muntons Sustainability Report 2020,https://www.muntons.com/wp-content/uploads/2020/04/Muntons-Sustainability-Report-2020.pdf,04,Tier 3,,,Fail,Pending Adobe,FAIL,"Figure alt text present, At least one heading present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Safeguard Guide For Religious Organisations 2021,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/safeguard-guide-for-religious-organisations-2021.pdf,Campaigns,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Bookmarks present when required, Tagged PDF present, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Southern Ireland Credit Protection Tc,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/southern-ireland-credit-protection-tc.pdf?download=1,Products,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Southern Ireland Debt Purchase Tc,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/southern-ireland-debt-purchase-tc.pdf?download=1,Products,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"Adobe accessibility check, Colour contrast machine check, Reading order machine check"
