pdf_name,url,category,priority_tier,control_pdfua,control_wcag,our_pdfua,our_wcag,overall_result,failure_summary
Notification Of Debts Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/notification-of-debts-form.pdf,GIB/RF/IIF,Tier 2,Fail,Fail,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Takeover Fraud Infographics,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/takeover-fraud-infographics.pdf,Campaigns,Tier 2,Pass,Pass,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Instant Advice,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/instant-advice.pdf,Solutions,Tier 2,Pass,Pass,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"Form fields have tooltips, At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Request For Transfer Of Letter Of Credit,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/request-for-transfer-of-letter-of-credit.pdf,Solutions,Tier 2,Fail,Fail,Fail,Pending Adobe,FAIL,"Figure alt text present, Form fields have tooltips, At least one heading present, Lists use L tag, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Rf On Hsbcnet User Application Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/rf-on-hsbcnet-user-application-form.pdf,GIB/RF/IIF,Tier 2,Pass,Pass,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"Form fields have tooltips, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Collection Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/collection-form.pdf,GIB/RF/IIF,Tier 2,Pass,Pass,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Rf Credit Protection,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/rf-credit-protection.pdf,GIB/RF/IIF,Tier 2,,,Fail,Pending Adobe,FAIL,"At least one heading present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Fx Conversion Rates,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/fx-conversion-rates.pdf,Generic,Tier 2,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Cmb Payment Fraud And Scams,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-cmb-payment-fraud-and-scams.pdf,Campaigns,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"Adobe accessibility check, Colour contrast machine check, Reading order machine check"
International Fixed Term Deposit Additional Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/international-fixed-term-deposit-additional-conditions.pdf,Products,Tier 2,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Retentions Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/retentions-guide.pdf,GIB/RF/IIF,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Instruction For Collection Faqs,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/instruction-for-collection-faqs.pdf,GIB/RF/IIF,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Business Email Compromise Ceo Fraud Infographics,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/business-email-compromise-ceo-fraud-infographics.pdf,Campaigns,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Deed Of Priority Unlimited Priority,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-deed-of-priority-unlimited-priority.pdf,Campaigns,Tier 2,,,Fail,Pending Adobe,FAIL,"At least one heading present, Document title present, Bookmarks present when required, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Starting A Franchise Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-starting-a-franchise-guide.pdf,Campaigns,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
