PDF Name,URL,Category,Total Traffic,Priority Tier,Axes Audit Status,Date Audited,PDF/ UA Reults,WCAG Reults,Link to Audit report,PDF/UA Notes,WCAG Notes,Remediation Status,Adobe Acrobat Audit Status,Remediation Notes,Re-test Result,Link to Audit report,3rd Re-test Result,Link to Audit report
Mandate Continuation Sheet For Specific Signing Rules,Open PDF,Forms,889,Tier 1,Complete,24/03/2026,Pass,Pass,https://check.axes4.com/en/result/0407c24e-1e2f-443b-b366-bce84c05dbf6,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Presentation Export Doc Cover,Open PDF,Solutions,878,Tier 1,Blocked,24/03/2026,Fail,Fail,https://check.axes4.com/en/result/d9e253f5-f69e-445a-ad33-b6c39a37c07f,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
Hsbc Global Wallet Factsheet June 2024,Open PDF,Products,835,Tier 1,Blocked,24/03/2026,Fail,Fail,https://check.axes4.com/en/result/c455a58c-cca6-4a5a-95c8-06ea4d5d8be0,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
Mandate For Trustees Or For Executors And Administrators Of A Deceased Persons Estate,Open PDF,Forms,833,Tier 1,Complete,24/03/2026,Partial,Partial,https://check.axes4.com/en/result/f52d18f3-2601-411a-8526-180a0f5b23a4,"Structure Tree, 24 errors","4.1 Compatible, 24 errors",Not Started,Not Started,,,,,
Go Greener Sme Reward,Open PDF,Products,718,Tier 1,Blocked,24/03/2026,Fail,Fail,https://check.axes4.com/en/result/a5483ff8-0aa6-4502-b19f-dc7288779174,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
Faster Payments Factsheet For Commercial Banking,Open PDF,Products,680,Tier 1,Complete,24/03/2026,Fail,Fail,https://check.axes4.com/en/result/a7a09981-342d-4d5b-b0d6-d38a8e34ef51,"10 content items not properly tagged
8 structure elements using incorrect tag types
8 alternative description warnings (alt text may be missing or questionable)","8 alt text warnings (1.1 Text Alternatives)
10 structure/tagging failures (1.3 Adaptable)
8 compatibility failures — links or form fields with incorrect names/roles (4.1 Compatible)",Not Started,Not Started,,,,,
Global Funds Transfer,Open PDF,Solutions,650,Tier 1,Complete,24/03/2026,Fail,Fail,https://check.axes4.com/en/result/4b89acef-2844-4142-ab4c-5dc6a9df50b2,"1 font not embedded
7 natural language failures (document or content language not set)
1 metadata field missing
2 document settings failures","1 structure/tagging failure (1.3 Adaptable)
2 navigation failures — missing bookmarks or document title (2.4 Navigable)
7 language failures — document or content language not set (3.1 Readable)",Not Started,Not Started,,,,,
Privacy Notice For Uk Customers,Open PDF,General,648,Tier 1,Complete,24/03/2026,Pass,Fail,https://check.axes4.com/en/result/b6f7b558-c675-4c70-aac2-f72ae9b9cc66,The file meets all machine-verifiable PDF/UA requirements.,134 colour contrast failures (1.4 Distinguishable),Not Started,Not Started,,,,,
Business Plan Template.Docx,Open PDF,General,620,Tier 1,Complete,25/03/2026,Fail,Fail,https://check.axes4.com/en/result/40b89972-f497-46a2-8a09-9c41b88d0ab9,"46 structure elements using incorrect tag types
38 structure tree warnings
3 metadata failures
1 document settings failure","43 structure/tagging failures (1.3 Adaptable)
3 navigation failures (2.4 Navigable)
56 language failures (3.1 Readable)
1 compatibility failure + 38 warnings (4.1 Compatible)",Not Started,Not Started,,,,,
Third Party Mandate Business,Open PDF,Forms,608,Tier 1,Complete,25/03/2026,Pass,Pass,https://check.axes4.com/en/result/d98a3f20-d6ca-47c0-9145-a2c6cc0b1404,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Hsbc Corporate Card Factsheet,Open PDF,Products,563,Tier 1,Complete,25/03/2026,Pass,Pass,https://check.axes4.com/en/result/6ae8bfaf-e30e-4df8-92b3-557bda7b6575,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
